src/deepreason/preparation.py: 19 symbols, 19 referenced (8 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/programs.py: 37 symbols, 37 referenced (25 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/proof_debt.py: 8 symbols, 8 referenced (4 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/provider_profile.py: 12 symbols, 12 referenced (3 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/qualification.py: 29 symbols, 29 referenced (8 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/readiness.py: 8 symbols, 8 referenced (3 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/referee.py: 16 symbols, 16 referenced (4 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/report.py: 6 symbols, 6 referenced (4 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/research: 21 symbols, 21 referenced (6 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/rules: 91 symbols, 89 referenced (41 intra-file), 0 dynamic-ref, 0 entry-point, 2 candidate-dead
src/deepreason/run_manifest.py: 83 symbols, 82 referenced (27 intra-file), 0 dynamic-ref, 0 entry-point, 1 candidate-dead
src/deepreason/runtime: 74 symbols, 74 referenced (30 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/scheduler: 7 symbols, 7 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/scratch: 120 symbols, 120 referenced (23 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/seat_bindings.py: 13 symbols, 13 referenced (1 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/seat_events.py: 4 symbols, 4 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/shallow.py: 5 symbols, 5 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/shallow_fitness.py: 5 symbols, 5 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/signals.py: 8 symbols, 8 referenced (1 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/signals_read.py: 4 symbols, 4 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/simulation: 8 symbols, 8 referenced (5 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/skills: 55 symbols, 55 referenced (15 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/status_display.py: 4 symbols, 4 referenced (1 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/storage: 16 symbols, 16 referenced (3 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/ui: 4 symbols, 4 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/unification: 5 symbols, 5 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/v6_policy.py: 17 symbols, 17 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/verification: 73 symbols, 73 referenced (20 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/views: 61 symbols, 60 referenced (24 intra-file), 0 dynamic-ref, 0 entry-point, 1 candidate-dead
src/deepreason/webapp.py: 9 symbols, 9 referenced (6 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/workflow: 171 symbols, 171 referenced (43 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/workflows: 27 symbols, 27 referenced (9 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/workloads: 77 symbols, 77 referenced (23 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead

TOTALS: {'symbols': 2947, 'referenced': 2932, 'dynamic': 0, 'entry': 0, 'candidate': 15}
candidate-dead: 15
EXIT=0
